Data,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
30/09/2013,0,0,77700317.18,-61114642.43,16585674.75,-2862032.896,-2802718.976,0,0,-5426829.824,493439.008,-1020598.976,1205330.944,-2225929.984,0,0,0,4966932.992,590804.992,-2015576.96,0,0,-147488.992,3394672.128
30/06/2013,0,0,73626247.17,-54919024.64,18707228.67,-2552424.96,-2589590.016,0,0,-2458756.096,389620,-3550694.912,909123.968,-4459819.008,0,0,0,7945380.864,793974.976,-3060443.904,0,0,522078.016,6200990.208
31/03/2013,0,0,72535343.1,-53679288.32,18856060.93,-2294332.928,-2470832.128,0,0,-4241159.936,156167.008,1389773.952,2588328.96,-1198555.008,0,0,0,11395677.18,-1438868.992,-2121592.96,0,0,-142038,7693176.832
31/12/2012,0,0,73405251.58,-56843436.03,16561815.55,-2369304.064,-2605640.704,0,0,-5848752.128,182231.984,2788819.968,3292281.088,-503460.864,0,0,0,8709167.104,-266358.016,-675821.056,0,0,-19396.016,7747591.168
30/09/2012,0,0,73792937.98,-55706664.96,18086270.98,-2531969.024,-2540272.896,0,0,-4412812.8,191471.008,-569438.976,981206.016,-1550644.992,0,0,0,8223246.848,-801553.984,-1786307.968,0,0,-69029,5566355.968
30/06/2012,0,0,68047273.98,-52032049.15,16015219.71,-2349093.888,-2496513.024,0,0,-5887714.816,-425980,-6406934.016,1638035.968,-8044969.984,0,0,0,-1551015.936,-856670.976,536996.992,0,0,524963.008,-1345726.976
31/03/2012,0,0,66134032.38,-45889974.27,20244051.97,-2353262.08,-2199895.04,0,0,-3920134.912,136319.008,464992.992,1329634.048,-864641.024,0,0,0,12372073.47,-613273.024,-2331120.896,0,0,-213458,9214221.312
31/12/2011,0,0,63727878.14,-47297273.86,16430604.29,-2284311.552,-2220725.248,0,0,-4988607.488,415170.976,489191.776,-1282337.792,1771529.728,0,0,0,7841325.056,347985.92,-2958496,0,0,-181540.032,5049274.368
30/09/2011,0,0,64179019.78,-43819614.21,20359403.52,-2367693.056,-2251566.08,0,0,-3417920,-471844,-5284533.76,1853010.048,-7137544.192,0,0,0,6565847.04,-2217822.976,925491.968,0,0,1062403.008,6335919.104
30/06/2011,0,0,61468745.73,-41226293.25,20242456.58,-2181940.992,-2164104.96,0,0,-3848613.12,165730,2895350.016,3231919.104,-336568.992,0,0,0,15108876.29,-1947378.944,-1750392.064,0,0,-468168,10942937.09
31/03/2011,0,0,54800498.69,-34596085.76,20204414.98,-2116097.024,-2010361.984,0,0,-3542087.936,276811.008,2022211.968,2740046.08,-717833.984,0,0,0,14834889.73,-1267239.936,-2373476.096,0,0,-209210,10984964.1
31/12/2010,0,0,54491152.38,-35611713.54,18879459.33,-2172345.344,-2154074.112,0,0,-4314201.088,388830.976,2535811.072,3210249.984,-674438.912,0,0,0,13087903.74,-528416.256,-1923374.336,0,0,-34460.992,10601650.18
30/09/2010,68868743.17,-14129697.79,54739042.3,-35093721.09,19645323.26,-2139537.024,-2116770.944,0,0,-2791930.88,229280,44542,981588.992,-937046.976,0,0,0,12870907.9,-963723.008,-2775495.936,0,0,-565236.992,8566452.224
30/06/2010,66884448.26,-13253070.85,53631381.5,-34244724.74,19386654.72,-2276029.952,-1897404.032,0,0,-3647909.12,-230444,106964,922497.984,-815534.016,0,0,0,11441830.91,-1563613.056,-1541420.032,0,0,-41808,8294989.824
31/03/2010,63323783.17,-12911715.33,50412072.96,-31101667.33,19310399.49,-2072393.984,-1828999.936,0,0,-4368460.8,-179280.992,-124488,759817.984,-884305.984,0,0,0,10736777.22,-3386216.96,446287.008,0,0,-70573,7726274.048
31/12/2009,60772663.3,-13139804.16,47632867.33,-29628375.04,18004512.77,-1785406.976,-1857616.896,0,0,-2143594.496,-395901.024,-686746.88,909543.168,-1596290.048,0,0,0,11135240.19,-575860.736,-1329499.008,-1495323.008,0,394315.008,8128872.448
30/09/2009,60264415.23,-12386795.52,47877619.71,-29015412.74,18862206.98,-1756579.968,-1965523.968,0,0,-3668662.016,309558.016,-517516.992,911795.968,-1429313.024,0,0,0,11263480.83,-2354096.128,-679049.024,0,0,-927768,7302567.936
30/06/2009,55891488.77,-11287490.56,44603994.11,-24613195.78,19990798.34,-1745849.984,-1834082.048,0,0,-4265155.072,372918.016,-711153.984,900078.976,-1611233.024,0,0,0,11807474.69,-3852421.12,1656294.016,0,0,-1876851.968,7734496.256
31/03/2009,53575409.66,-10979835.9,42595573.76,-25780269.06,16815301.63,-1864141.952,-1753019.008,0,0,-3392969.984,-370972,-433784,783769.024,-1217553.024,0,0,0,9000415.232,-2389839.872,-452734.016,0,0,-342068.992,5815772.16
31/12/2008,58840137.73,-12642955.26,46197178.37,-31895437.31,14301741.06,-1992330.752,-2080078.848,0,0,-1691344.896,-881553.984,473402.048,2016579.84,-1543177.984,-371477.024,-405075.008,33598,7758360.576,2124768.256,-3917543.168,-1344525.952,0,1806464,6427518.976
30/09/2008,81481719.81,-14022149.12,67459567.62,-46757031.94,20702535.68,-1855174.016,-1994256,0,0,-821736,138340.992,-607827.008,391715.008,-999542.016,-29897,-23914,-5983,15531986.94,-5846750.208,205982,0,0,960665.024,10851884.03
30/06/2008,67014696.96,-12445034.5,54569664.51,-33331468.29,21238194.18,-1723142.016,-1608147.968,0,0,-3752119.04,-142931.008,-455224,380992,-836216,414151.008,428988.992,-14838,13970781.18,-4236545.024,-321212.992,0,0,-629697.024,8783326.208
31/03/2008,59157532.67,-12265401.34,46892126.21,-29639424,17252706.3,-1591617.024,-1564875.008,0,0,-3042632.96,11926,-109057,705142.016,-814198.976,-12777,0,-12777,10943673.34,-3233498.88,-737177.024,0,0,-47935,6925062.144
31/12/2007,57922224.13,-12505235.46,45416972.29,-28953608.19,16463360,-1566960.64,-1829997.056,0,0,-3610765.312,-290805.952,-103569.984,816252.16,-919822.08,-350758.016,75260.992,-426019.008,8710502.4,-2382841.856,24649.024,-1011913.984,0,-287858.944,5052535.808
30/09/2007,56572272.64,-12103648.26,44468625.41,-27263404.03,17205219.33,-1635228.032,-1554983.04,0,0,-4642234.88,-202555.008,-177672,543128,-720800,-139260.992,-156996.992,17736,8853285.888,-1765479.936,-1013120,0,0,-546504,5528181.76
30/06/2007,53632487.42,-11834812.42,41797677.06,-24552187.9,17245487.1,-1442624,-1401443.968,0,0,-3631954.944,-103164,-290262.016,477924.992,-768187.008,24683,65536,-40853,10400722.94,-3785153.024,617123.008,0,0,-432340.992,6800352.256
31/03/2007,50127196.16,-11232749.57,38894448.64,-23628834.82,15265612.8,-1414920.96,-1641468.032,0,0,-4363182.08,-84130,-213955.008,669238.016,-883193.024,26819,16200,10619,7574775.808,-2862049.024,-105886,0,0,-476121.984,4130718.976
31/12/2006,53156528.13,-12115460.1,41041051.65,-26695700.48,14345355.26,-1549417.728,-1728457.216,0,0,-2564800,20054,82886.016,687835.904,-604949.76,34774,51540,-16766,8640397.312,-593715.2,-1307474.944,-1196918.016,0,-342428.032,5199859.712
30/09/2006,55845838.85,-12482408.45,43363430.4,-27066175.49,16297254.91,-1546189.056,-1458584.064,0,0,-3085907.968,55297,-577864,718955.008,-1296818.944,-38077,-4155,-33922,9645930.496,-3403255.04,1141346.944,0,0,-299411.008,7084611.072
30/06/2006,49632681.98,-11684275.2,37948407.81,-21260419.07,16687988.74,-1353043.968,-1415232,0,0,-2661167.104,117737,-132871,601422.016,-734292.992,28854,-14629,43483,11272265.73,-4039844.096,174428,0,0,-447391.008,6959458.816
31/03/2006,46767996.93,-10882071.55,35885924.35,-19643547.65,16242376.7,-1341997.056,-1185891.968,0,0,-1435027.968,-426303.008,-713705.024,370580,-1084285.056,-92501,-2850,-89651,11046950.91,-3093257.984,-774628.992,0,0,-504072.992,6674991.104
31/12/2005,50065801.22,-10447706.11,39618109.44,-23006740.48,16611377.15,-1709340.928,-3628165.12,0,0,-1011597.824,291595.04,375266.048,1317370.112,-942104.064,68180.008,-58338,126517.992,10997313.54,-3063041.024,649056.128,-1005564.032,0,564114.048,8141880.32